sample_id,date,watershed,fertilizer_input_kg_ha,temp_C,turbidity_NTU,algal_index
57,2022-06-21,DryCrk,54.5,17.0,7.5,69.0
58,2022-06-24,Orestimba,71.5,13.0,6.5,81.0
59,2022-06-27,Orestimba,69.5,11.5,10.0,76.0
60,2022-06-30,Orestimba,96.5,20.5,20.5,113.0
61,2022-07-03,LowerBear,85.0,16.5,23.0,96.5
62,2022-07-06,Orestimba,44.5,14.0,10.0,57.0
63,2022-07-09,Orestimba,90.5,17.5,23.5,103.5
64,2022-07-12,Orestimba,68.5,22.5,12.0,89.0
65,2022-07-15,LowerBear,105.5,9.0,22.5,105.0
66,2022-07-18,Orestimba,67.5,12.0,11.5,75.0
67,2022-07-21,Orestimba,67.5,14.5,13.0,78.0
68,2022-07-24,Orestimba,91.0,24.0,14.0,109.5
69,2022-07-28,LowerBear,95.5,19.0,31.0,108.5
70,2022-07-31,Orestimba,89.0,21.0,17.0,104.5
71,2022-08-03,LowerBear,46.5,13.5,8.0,59.0
72,2022-08-06,DryCrk,91.0,13.5,18.0,98.0
73,2022-08-09,DryCrk,59.5,20.0,10.0,77.5
74,2022-08-12,DryCrk,84.5,18.0,9.0,97.5
75,2022-08-15,Orestimba,51.5,20.0,17.5,70.5
76,2022-08-18,LowerBear,89.0,17.0,12.0,101.0
77,2022-08-21,DryCrk,64.0,19.0,13.5,79.5
78,2022-08-24,DryCrk,54.5,18.5,12.0,70.5
79,2022-08-27,DryCrk,94.5,21.0,14.0,111.0
80,2022-08-30,LowerBear,85.0,21.0,14.5,101.5
81,2022-09-02,LowerBear,67.5,11.5,0.5,73.5
82,2022-09-05,LowerBear,109.0,9.0,16.0,109.5
83,2022-09-08,DryCrk,71.0,22.0,6.0,90.5
84,2022-09-11,DryCrk,80.5,23.0,3.5,99.0
85,2022-09-14,DryCrk,85.5,14.0,11.5,94.0
86,2022-09-18,DryCrk,67.5,10.5,12.5,74.0
87,2022-09-21,LowerBear,89.5,18.5,8.0,103.0
88,2022-09-24,LowerBear,69.5,21.5,17.0,89.0
89,2022-09-27,DryCrk,72.0,25.0,4.0,93.5
90,2022-09-30,Orestimba,107.5,20.0,9.5,121.0
91,2022-10-03,LowerBear,59.0,16.5,8.5,72.5
92,2022-10-06,Orestimba,31.5,14.5,11.5,45.5
93,2022-10-09,DryCrk,112.0,18.0,13.5,123.0
94,2022-10-12,LowerBear,131.0,17.0,6.0,139.5
95,2022-10-15,DryCrk,72.0,14.0,16.5,83.0
96,2022-10-18,LowerBear,41.5,26.0,12.5,69.5
97,2022-10-21,LowerBear,74.0,25.0,0.5,96.5
98,2022-10-24,DryCrk,74.5,22.5,0.0,94.5
99,2022-10-27,DryCrk,76.0,14.5,12.0,86.5
100,2022-10-30,Orestimba,57.5,21.5,10.5,77.5
101,2022-11-02,LowerBear,91.5,20.5,11.5,107.0
102,2022-11-05,Orestimba,90.5,20.0,12.0,106.0
103,2022-11-09,LowerBear,50.0,23.0,13.5,72.5
104,2022-11-12,LowerBear,94.0,20.5,17.5,108.5
105,2022-11-15,Orestimba,121.0,21.0,5.5,134.0
106,2022-11-18,Orestimba,83.5,20.5,5.0,100.5
107,2022-11-21,DryCrk,73.5,19.5,5.5,89.5
108,2022-11-24,LowerBear,77.0,11.0,13.5,83.0
109,2022-11-27,LowerBear,92.5,18.5,19.5,106.0
110,2022-11-30,DryCrk,45.5,16.0,9.5,60.0
111,2022-12-03,DryCrk,83.5,13.0,3.0,91.5
112,2022-12-06,Orestimba,72.0,24.5,2.0,94.5
28,2022-03-24,DryCrk,95.0,16.0,18.5,106.0
12,2022-02-03,DryCrk,93.5,7.5,11.0,92.5
33,2022-04-08,DryCrk,51.0,19.5,11.0,69.5
38,2022-04-24,DryCrk,51.0,15.0,14.0,64.5
15,2022-02-12,Orestimba,86.0,15.0,15.0,96.0
18,2022-02-22,DryCrk,74.0,19.5,11.5,91.0
31,2022-04-02,DryCrk,91.0,16.0,10.0,101.0
36,2022-04-18,Orestimba,62.0,9.0,9.0,68.0
